1741030 98999 99134 99034 99089 99102 1003.01 
1741040 98999 99128 99037 99089 99111 1003.01 
1741050 99001 99131 99032 99100 99102 1003.01 
1741060 98997 99131 99040 99092 99109 1003.01 
1741070 98997 99134 99030 99099 99112 1003.01 
1741080 99004 99131 99037 99093 99101 1003.01 
1741090 98994 99135 99033 99092 99106 1003.01 
1741100 99005 99134 99034 99094 99106 1003.01 
1741110 99002 99139 99032 99095 99107 1003.01 
1741120 98993 99137 99030 99101 99099 1004.02 
1741130 99001 99128 99034 99088 99101 1003.01 
1741140 99001 99124 99029 99099 99106 1003.01 
1741150 98997 99131 99033 99094 99107 1003.01 
1741160 99004 99132 99036 99092 99105 1003.01 
1741170 99006 99126 99036 99091 99106 1003.01 
1741180 98995 99131 99029 99092 99104 1003.01 
1741190 99002 99135 99033 99094 99109 1003.01 
1741200 99000 99133 99029 99099 99102 1003.01 
1741210 99001 99137 99033 99091 99101 1003.01 
1741220 99002 99128 99029 99100 99105 1003.01 
1741230 99000 99134 99025 99096 99110 1003.01 
1741240 98993 99131 99042 99088 99101 1003.01 
1741250 98997 99137 99040 99099 99096 1003.01 
1741260 99001 99134 99032 99088 99107 1003.01 
1741270 99000 99134 99032 99091 99107 1003.01 
1741280 99001 99143 99033 99094 99101 1003.01 
1741290 99002 99134 99028 99090 99102 1003.01 
1741300 98998 99137 99033 99099 99107 1003.01 
1741310 99005 99137 99037 99093 99103 1003.01 
1741320 98995 99134 99041 99093 99106 1003.01 
1741330 98992 99137 99037 99086 99113 1003.01 
1741340 98993 99131 99029 99092 99104 1003.01 
1741350 99001 99132 99033 99087 99104 1003.01 
1741360 98999 99132 99030 99095 99104 1003.01 
1741370 99006 99137 99029 99091 99102 1003.01 
1741380 98999 99131 99039 99099 99102 1003.01 
1741390 98994 99129 99036 99093 99096 1003.01 
1741400 98999 99135 99043 99098 99104 1003.01 
1741410 98999 99132 99029 99091 99098 1003.01 
1741420 98994 99141 99037 99088 99105 1003.01 
1741430 98996 99137 99036 99090 99097 1003.01 
1741440 99005 99135 99037 99094 99106 1003.01 
1741450 99000 99134 99029 99093 99101 1003.01 
1741460 99004 99136 99037 99091 99109 1003.01 
1741470 98999 99137 99037 99092 99112 1003.01 
1741480 98999 99137 99034 99091 99105 1003.01 
1741490 98999 99138 99027 99093 99109 1003.01 
1741500 99004 99132 99026 99094 99107 1003.01 
1741510 99000 99136 99037 99091 99102 1003.01 
1741520 99002 99134 99029 99093 99099 1003.01 
1741530 98998 99130 99037 99100 99111 1003.01 
1741540 99005 99136 99043 99091 99109 1003.01 
